date,T2M,RH2M,PRECTOTCORR,division
2007-01-01,17.78,66.91,0.0,Barisal
2007-01-02,17.55,66.16,0.0,Barisal
2007-01-03,16.52,69.05,0.0,Barisal
2007-01-04,15.33,70.14,0.0,Barisal
2007-01-05,15.94,73.13,0.0,Barisal
2007-01-06,16.67,77.36,0.0,Barisal
2007-01-07,17.16,74.7,0.0,Barisal
2007-01-08,16.84,73.45,0.0,Barisal
2007-01-09,16.94,68.1,0.0,Barisal
2007-01-10,17.97,65.04,0.0,Barisal
2007-01-11,17.64,64.09,0.0,Barisal
2007-01-12,17.57,64.13,0.0,Barisal
2007-01-13,18.31,67.81,0.0,Barisal
2007-01-14,17.7,68.9,0.0,Barisal
2007-01-15,16.94,60.01,0.0,Barisal
2007-01-16,18.11,54.66,0.01,Barisal
2007-01-17,18.05,59.62,0.01,Barisal
2007-01-18,17.26,60.63,0.0,Barisal
2007-01-19,17.0,62.27,0.0,Barisal
2007-01-20,18.43,54.93,0.0,Barisal
2007-01-21,19.58,55.82,0.0,Barisal
2007-01-22,19.37,56.37,0.0,Barisal
2007-01-23,18.22,55.7,0.0,Barisal
2007-01-24,17.75,64.44,0.0,Barisal
2007-01-25,18.99,63.85,0.0,Barisal
2007-01-26,19.92,59.63,0.0,Barisal
2007-01-27,21.29,55.57,0.0,Barisal
2007-01-28,22.1,55.08,0.0,Barisal
2007-01-29,21.57,66.39,0.0,Barisal
2007-01-30,21.08,78.84,0.0,Barisal
2007-01-31,22.01,74.19,0.0,Barisal
2007-02-01,22.3,74.63,0.2,Barisal
2007-02-02,22.56,77.04,0.07,Barisal
2007-02-03,22.48,75.16,0.16,Barisal
2007-02-04,22.58,79.19,6.3,Barisal
2007-02-05,21.92,86.29,19.14,Barisal
2007-02-06,21.59,81.32,8.58,Barisal
2007-02-07,21.32,85.02,11.05,Barisal
2007-02-08,21.69,83.56,1.62,Barisal
2007-02-09,22.64,72.75,0.23,Barisal
2007-02-10,22.94,61.89,0.0,Barisal
2007-02-11,22.76,58.76,0.0,Barisal
2007-02-12,22.38,73.58,0.0,Barisal
2007-02-13,21.72,74.83,3.19,Barisal
2007-02-14,20.65,84.6,19.52,Barisal
2007-02-15,19.49,67.71,0.02,Barisal
2007-02-16,19.78,57.39,0.0,Barisal
2007-02-17,20.41,62.52,0.0,Barisal
2007-02-18,20.58,61.89,0.0,Barisal
2007-02-19,20.15,61.49,0.0,Barisal
2007-02-20,20.05,56.43,0.0,Barisal
2007-02-21,20.63,56.01,0.0,Barisal
2007-02-22,21.46,53.52,0.0,Barisal
2007-02-23,22.04,57.38,0.0,Barisal
2007-02-24,23.34,52.99,0.0,Barisal
2007-02-25,24.02,58.67,0.0,Barisal
2007-02-26,23.77,58.49,0.31,Barisal
2007-02-27,23.06,61.16,0.65,Barisal
2007-02-28,23.82,56.91,0.0,Barisal
2007-03-01,24.98,55.46,0.29,Barisal
2007-03-02,24.03,71.83,2.42,Barisal
2007-03-03,23.35,65.8,0.26,Barisal
2007-03-04,22.75,53.6,0.0,Barisal
2007-03-05,22.6,51.17,0.0,Barisal
2007-03-06,22.8,47.61,0.0,Barisal
2007-03-07,22.85,42.17,0.0,Barisal
2007-03-08,23.45,39.95,0.0,Barisal
2007-03-09,23.41,44.34,0.0,Barisal
2007-03-10,24.15,48.25,0.0,Barisal
2007-03-11,25.67,65.59,0.03,Barisal
2007-03-12,27.25,56.46,0.0,Barisal
2007-03-13,26.48,55.4,0.01,Barisal
2007-03-14,26.52,54.74,0.0,Barisal
2007-03-15,26.86,57.5,0.0,Barisal
2007-03-16,25.11,44.83,0.0,Barisal
2007-03-17,24.57,41.29,0.0,Barisal
2007-03-18,24.85,46.72,0.0,Barisal
2007-03-19,26.27,60.08,0.0,Barisal
2007-03-20,26.99,67.57,0.0,Barisal
2007-03-21,27.2,71.58,0.0,Barisal
2007-03-22,27.3,72.68,0.05,Barisal
2007-03-23,27.9,71.08,0.01,Barisal
2007-03-24,28.5,70.25,0.0,Barisal
2007-03-25,28.8,60.75,0.0,Barisal
2007-03-26,28.48,53.52,0.0,Barisal
2007-03-27,28.86,49.83,0.0,Barisal
2007-03-28,28.61,45.18,8.08,Barisal
2007-03-29,29.12,54.13,0.0,Barisal
2007-03-30,28.93,56.72,0.0,Barisal
2007-03-31,28.92,59.55,0.0,Barisal
2007-04-01,28.82,64.8,0.0,Barisal
2007-04-02,28.98,69.92,0.0,Barisal
2007-04-03,29.41,72.05,0.0,Barisal
2007-04-04,28.78,73.25,0.0,Barisal
2007-04-05,28.7,70.26,0.0,Barisal
2007-04-06,28.84,68.51,0.0,Barisal
2007-04-07,28.82,69.18,0.0,Barisal
2007-04-08,28.77,70.15,0.0,Barisal
2007-04-09,29.22,68.78,1.1,Barisal
2007-04-10,28.59,71.08,5.76,Barisal
2007-04-11,27.88,77.03,12.39,Barisal
2007-04-12,27.47,78.7,14.62,Barisal
2007-04-13,27.32,73.65,6.02,Barisal
2007-04-14,27.8,70.21,0.0,Barisal
2007-04-15,27.77,70.68,0.0,Barisal
2007-04-16,28.46,69.65,0.0,Barisal
2007-04-17,29.24,64.38,0.0,Barisal
2007-04-18,29.95,64.08,0.52,Barisal
2007-04-19,29.8,65.24,0.21,Barisal
2007-04-20,29.45,69.95,0.77,Barisal
2007-04-21,29.28,71.63,3.44,Barisal
2007-04-22,28.45,81.35,12.1,Barisal
2007-04-23,29.46,78.04,13.7,Barisal
2007-04-24,29.6,76.24,3.21,Barisal
2007-04-25,29.57,71.78,2.13,Barisal
2007-04-26,29.54,73.12,0.92,Barisal
2007-04-27,28.11,71.07,2.59,Barisal
2007-04-28,28.37,75.83,8.52,Barisal
2007-04-29,29.76,66.84,0.04,Barisal
2007-04-30,30.75,59.38,0.0,Barisal
2007-05-01,31.55,55.01,0.0,Barisal
2007-05-02,32.25,54.73,0.04,Barisal
2007-05-03,31.48,62.74,0.88,Barisal
2007-05-04,31.45,63.97,1.2,Barisal
