reportId,reportNumber,reportType,newOutbreaks,totalOutbreaks,reportingDate
644,0,IN,3,3,2007-03-30
747,1,FUR,9,12,2007-04-30
843,2,FUR,11,23,2007-05-24
971,3,FUR,5,28,2007-07-08
1520,4,FUR,36,64,2007-12-17
1702,5,FUR,65,129,2008-03-16
1762,6,FUR,156,285,2008-04-24
1825,7,FUR,1,286,2008-06-11
2092,8,FUR,1,287,2008-11-20
2142,9,FUR,2,289,2008-12-17
2173,10,FUR,4,293,2009-01-06
2200,11,FUR,3,296,2009-01-22
2212,12,FUR,1,297,2009-01-29
2225,13,FUR,1,298,2009-02-03
2232,14,FUR,1,299,2009-02-10
2268,15,FUR,4,303,2009-02-26
2292,16,FUR,5,308,2009-03-12
2361,17,FUR,12,320,2009-04-13
2477,18,FUR,2,322,2009-06-17
2540,19,FUR,1,323,2009-07-14
2646,20,FUR,1,324,2009-09-20
2953,21,FUR,1,325,2010-01-20
2988,22,FUR,2,327,2010-01-31
3062,23,FUR,14,341,2010-03-02
3197,24,FUR,12,353,2010-04-25
3342,25,FUR,1,354,2010-06-17
3898,26,FUR,1,355,2011-01-10
3954,27,FUR,1,356,2011-02-03
3992,28,FUR,6,362,2011-02-13
4020,29,FUR,22,384,2011-02-24
4043,30,FUR,29,413,2011-03-06
4103,31,FUR,67,480,2011-03-24
4185,32,FUR,31,511,2011-04-21
4239,33,FUR,3,514,2011-05-12
4388,34,FUR,1,515,2011-07-07
4541,35,FUR,4,519,2011-09-08
4858,36,FUR,4,523,2011-12-21
4940,37,FUR,3,526,2012-01-15
5152,38,FUR,10,536,2012-03-19
5234,39,FUR,9,545,2012-04-22
5627,40,FUR,1,546,2012-11-19
5772,41,FUR,1,547,2013-02-05
5901,42,FUR,2,549,2013-04-29
6400,43,FUR,0,549,2013-12-21
