Year,half,period_start,disease_code,animal_category,occurrence_code,Disease status,present
2007,H1,2007-01-01,HPAI_poultry,Domestic,Disease present,Present,1
2007,H1,2007-01-01,HPAI_poultry,Wild,Disease absent,Absent,0
2007,H2,2007-07-01,HPAI_poultry,Domestic,Disease present,Present,1
2007,H2,2007-07-01,HPAI_poultry,Wild,Disease absent,Absent,0
2008,H1,2008-01-01,HPAI_poultry,Domestic,Disease present,Present,1
2008,H1,2008-01-01,HPAI_poultry,Wild,Disease absent,Absent,0
2008,H2,2008-07-01,HPAI_poultry,Domestic,Disease present,Present,1
2008,H2,2008-07-01,HPAI_poultry,Wild,Disease absent,Absent,0
2009,H1,2009-01-01,HPAI_poultry,Domestic,Disease present,Present,1
2009,H1,2009-01-01,HPAI_poultry,Wild,Disease present,Present,1
2009,H2,2009-07-01,HPAI_poultry,Domestic,Disease present,Present,1
2009,H2,2009-07-01,HPAI_poultry,Wild,Disease present,Present,1
2010,H1,2010-01-01,HPAI_poultry,Domestic,Disease present,Present,1
2010,H1,2010-01-01,HPAI_poultry,Wild,Disease present,Present,1
2010,H2,2010-07-01,HPAI_poultry,Domestic,Disease present,Present,1
2010,H2,2010-07-01,HPAI_poultry,Wild,Disease present,Present,1
2011,H1,2011-01-01,HPAI_poultry,Domestic,Disease present,Present,1
2011,H1,2011-01-01,HPAI_poultry,Wild,Disease present,Present,1
2011,H2,2011-07-01,HPAI_poultry,Domestic,Disease present,Present,1
2011,H2,2011-07-01,HPAI_poultry,Wild,Disease present,Present,1
2012,H1,2012-01-01,HPAI_poultry,Domestic,Disease present,Present,1
2012,H1,2012-01-01,HPAI_poultry,Wild,Disease present,Present,1
2012,H2,2012-07-01,HPAI_poultry,Domestic,Disease present,Present,1
2012,H2,2012-07-01,HPAI_poultry,Wild,Disease absent,Absent,0
2013,H1,2013-01-01,HPAI_poultry,Domestic,Disease present,Present,1
2013,H1,2013-01-01,HPAI_poultry,Wild,Disease absent,Absent,0
2013,H2,2013-07-01,HPAI_poultry,Domestic,Disease present,Present,1
2013,H2,2013-07-01,HPAI_poultry,Wild,Disease absent,Absent,0
2014,H1,2014-01-01,HPAI_poultry,Domestic,Disease limited to one or more zones,Present,1
2014,H1,2014-01-01,HPAI_poultry,Wild,Disease absent,Absent,0
2014,H2,2014-07-01,HPAI_poultry,Domestic,Disease absent,Absent,0
2014,H2,2014-07-01,HPAI_poultry,Wild,Disease absent,Absent,0
2015,H1,2015-01-01,HPAI_poultry,Domestic,Disease absent,Absent,0
2015,H1,2015-01-01,HPAI_poultry,Wild,Disease absent,Absent,0
2015,H2,2015-07-01,HPAI_poultry,Domestic,Disease absent,Absent,0
2015,H2,2015-07-01,HPAI_poultry,Wild,Disease absent,Absent,0
2016,H1,2016-01-01,HPAI_poultry,Domestic,Disease absent,Absent,0
2016,H1,2016-01-01,HPAI_poultry,Wild,Disease limited to one or more zones,Present,1
2016,H2,2016-07-01,HPAI_poultry,Domestic,Disease absent,Absent,0
2016,H2,2016-07-01,HPAI_poultry,Wild,Disease absent,Absent,0
2017,H1,2017-01-01,HPAI_nonpoultry_wildbird,Domestic,No information,No information,
2017,H1,2017-01-01,HPAI_nonpoultry_wildbird,Wild,Disease limited to one or more zones,Present,1
2017,H1,2017-01-01,HPAI_poultry,Domestic,Disease limited to one or more zones,Present,1
2017,H1,2017-01-01,HPAI_poultry,Wild,No information,No information,
2017,H2,2017-07-01,HPAI_nonpoultry_wildbird,Domestic,No information,No information,
2017,H2,2017-07-01,HPAI_nonpoultry_wildbird,Wild,Disease limited to one or more zones,Present,1
2017,H2,2017-07-01,HPAI_poultry,Domestic,Disease limited to one or more zones,Present,1
2017,H2,2017-07-01,HPAI_poultry,Wild,No information,No information,
2018,H1,2018-01-01,HPAI_nonpoultry_wildbird,Domestic,No information,No information,
2018,H1,2018-01-01,HPAI_nonpoultry_wildbird,Wild,Disease limited to one or more zones,Present,1
2018,H1,2018-01-01,HPAI_poultry,Domestic,Disease limited to one or more zones,Present,1
2018,H2,2018-07-01,HPAI_nonpoultry_wildbird,Domestic,No information,No information,
2018,H2,2018-07-01,HPAI_nonpoultry_wildbird,Wild,Disease absent,Absent,0
2018,H2,2018-07-01,HPAI_poultry,Domestic,Disease absent,Absent,0
2019,H1,2019-01-01,HPAI_nonpoultry_wildbird,Domestic,No information,No information,
2019,H1,2019-01-01,HPAI_nonpoultry_wildbird,Wild,Disease present,Present,1
2019,H1,2019-01-01,HPAI_poultry,Domestic,Disease absent,Absent,0
2019,H2,2019-07-01,HPAI_nonpoultry_wildbird,Domestic,No information,No information,
2019,H2,2019-07-01,HPAI_nonpoultry_wildbird,Wild,Disease absent,Absent,0
2019,H2,2019-07-01,HPAI_poultry,Domestic,Disease absent,Absent,0
2020,H1,2020-01-01,HPAI_nonpoultry_wildbird,Domestic,No information,No information,
2020,H1,2020-01-01,HPAI_nonpoultry_wildbird,Wild,Disease absent,Absent,0
2020,H1,2020-01-01,HPAI_poultry,Domestic,Disease absent,Absent,0
2020,H2,2020-07-01,HPAI_nonpoultry_wildbird,Domestic,No information,No information,
2020,H2,2020-07-01,HPAI_nonpoultry_wildbird,Wild,Disease absent,Absent,0
2020,H2,2020-07-01,HPAI_poultry,Domestic,Disease absent,Absent,0
2023,H1,2023-01-01,HPAI_nonpoultry_wildbird,Domestic,No information,No information,
2023,H1,2023-01-01,HPAI_nonpoultry_wildbird,Wild,Disease absent,Absent,0
2023,H1,2023-01-01,HPAI_poultry,Domestic,Disease absent,Absent,0
2023,H2,2023-07-01,HPAI_nonpoultry_wildbird,Domestic,No information,No information,
2023,H2,2023-07-01,HPAI_nonpoultry_wildbird,Wild,Disease absent,Absent,0
2023,H2,2023-07-01,HPAI_poultry,Domestic,Disease absent,Absent,0
2024,H1,2024-01-01,HPAI_nonpoultry_wildbird,Domestic,No information,No information,
2024,H1,2024-01-01,HPAI_nonpoultry_wildbird,Wild,Disease absent,Absent,0
2024,H1,2024-01-01,HPAI_poultry,Domestic,Disease absent,Absent,0
2024,H2,2024-07-01,HPAI_nonpoultry_wildbird,Domestic,Disease never reported,Absent,0
2024,H2,2024-07-01,HPAI_nonpoultry_wildbird,Wild,Disease never reported,Absent,0
