badge;reportId;reportNumber;reportReference;reportTypeNumber;reportType;oieReference;newOutbreaks;totalOutbreaks;openOutbreaks;reportingDate;isLastReportUnchanged
"";6400;43;"";"FUR_43";"FUR";"FUR_14568";0;549;0;"21/12/2013";false
"";5901;42;"";"FUR_42";"FUR";"FUR_13335";2;549;0;"29/04/2013";false
"";5772;41;"";"FUR_41";"FUR";"FUR_12973";1;547;0;"05/02/2013";false
"";5627;40;"";"FUR_40";"FUR";"FUR_12598";1;546;0;"19/11/2012";false
"";5234;39;"";"FUR_39";"FUR";"FUR_11881";9;545;0;"22/04/2012";false
"";5152;38;"";"FUR_38";"FUR";"FUR_11785";10;536;0;"19/03/2012";false
"";4940;37;"";"FUR_37";"FUR";"FUR_11507";3;526;0;"15/01/2012";false
"";4858;36;"";"FUR_36";"FUR";"FUR_11408";4;523;0;"21/12/2011";false
"";4541;35;"";"FUR_35";"FUR";"FUR_10994";4;519;0;"08/09/2011";false
"";4388;34;"";"FUR_34";"FUR";"FUR_10777";1;515;0;"07/07/2011";false
"";4239;33;"";"FUR_33";"FUR";"FUR_10572";3;514;0;"12/05/2011";false
"";4185;32;"";"FUR_32";"FUR";"FUR_10511";31;511;0;"21/04/2011";false
"";4103;31;"";"FUR_31";"FUR";"FUR_10404";67;480;0;"24/03/2011";false
"";4043;30;"";"FUR_30";"FUR";"FUR_10325";29;413;0;"06/03/2011";false
"";4020;29;"";"FUR_29";"FUR";"FUR_10287";22;384;0;"24/02/2011";false
"";3992;28;"";"FUR_28";"FUR";"FUR_10253";6;362;0;"13/02/2011";false
"";3954;27;"";"FUR_27";"FUR";"FUR_10212";1;356;0;"03/02/2011";false
"";3898;26;"";"FUR_26";"FUR";"FUR_10146";1;355;0;"10/01/2011";false
"";3342;25;"";"FUR_25";"FUR";"FUR_9388";1;354;0;"17/06/2010";false
"";3197;24;"";"FUR_24";"FUR";"FUR_9180";12;353;0;"25/04/2010";false
"";3062;23;"";"FUR_23";"FUR";"FUR_8993";14;341;0;"02/03/2010";false
"";2988;22;"";"FUR_22";"FUR";"FUR_8906";2;327;0;"31/01/2010";false
"";2953;21;"";"FUR_21";"FUR";"FUR_8866";1;325;0;"20/01/2010";false
"";2646;20;"";"FUR_20";"FUR";"FUR_8452";1;324;0;"20/09/2009";false
"";2540;19;"";"FUR_19";"FUR";"FUR_8288";1;323;0;"14/07/2009";false
"";2477;18;"";"FUR_18";"FUR";"FUR_8203";2;322;0;"17/06/2009";false
"";2361;17;"";"FUR_17";"FUR";"FUR_8008";12;320;0;"13/04/2009";false
"";2292;16;"";"FUR_16";"FUR";"FUR_7882";5;308;0;"12/03/2009";false
"";2268;15;"";"FUR_15";"FUR";"FUR_7834";4;303;0;"26/02/2009";false
"";2232;14;"";"FUR_14";"FUR";"FUR_7779";1;299;0;"10/02/2009";false
"";2225;13;"";"FUR_13";"FUR";"FUR_7762";1;298;0;"03/02/2009";false
"";2212;12;"";"FUR_12";"FUR";"FUR_7732";1;297;0;"29/01/2009";false
"";2200;11;"";"FUR_11";"FUR";"FUR_7716";3;296;0;"22/01/2009";false
"";2173;10;"";"FUR_10";"FUR";"FUR_7659";4;293;0;"06/01/2009";false
"";2142;9;"";"FUR_9";"FUR";"FUR_7619";2;289;0;"17/12/2008";false
"";2092;8;"";"FUR_8";"FUR";"FUR_7538";1;287;0;"20/11/2008";false
"";1825;7;"";"FUR_7";"FUR";"FUR_7107";1;286;0;"11/06/2008";false
"";1762;6;"";"FUR_6";"FUR";"FUR_6999";156;285;0;"24/04/2008";false
"";1702;5;"";"FUR_5";"FUR";"FUR_6904";65;129;0;"16/03/2008";false
"";1520;4;"";"FUR_4";"FUR";"FUR_6600";36;64;0;"17/12/2007";false
"";971;3;"";"FUR_3";"FUR";"FUR_5713";5;28;0;"08/07/2007";false
"";843;2;"";"FUR_2";"FUR";"FUR_5477";11;23;0;"24/05/2007";false
"";747;1;"";"FUR_1";"FUR";"FUR_5319";9;12;0;"30/04/2007";false
"";644;0;"";"IN";"IN";"IN_5154";3;3;0;"30/03/2007";false
