Year,Semester,Region,Country,Disease,Animal category,Occurence code,Disease status
2025,Jul-Dec-2025,Asia,Bangladesh,"High pathogenicity avian influenza viruses (Inf. with) (poultry)",Domestic,Disease absent,Absent
2025,Jul-Dec-2025,Asia,Bangladesh,"Influenza A viruses of high pathogenicity (Inf. with) (non-poultry including wild birds) (2017-)",Domestic,No information,No information
2025,Jul-Dec-2025,Asia,Bangladesh,"Influenza A viruses of high pathogenicity (Inf. with) (non-poultry including wild birds) (2017-)",Wild,Disease absent,Absent
2025,Jan-Jun-2025,Asia,Bangladesh,"High pathogenicity avian influenza viruses (Inf. with) (poultry)",Domestic,Disease limited to one or more zones,Present
2025,Jan-Jun-2025,Asia,Bangladesh,"Influenza A viruses of high pathogenicity (Inf. with) (non-poultry including wild birds) (2017-)",Domestic,No information,No information
2025,Jan-Jun-2025,Asia,Bangladesh,"Influenza A viruses of high pathogenicity (Inf. with) (non-poultry including wild birds) (2017-)",Wild,Disease absent,Absent
2024,Jul-Dec-2024,Asia,Bangladesh,"High pathogenicity avian influenza viruses (Inf. with) (poultry)",Domestic,Disease absent,Absent
2024,Jul-Dec-2024,Asia,Bangladesh,"Influenza A viruses of high pathogenicity (Inf. with) (non-poultry including wild birds) (2017-)",Domestic,Disease never reported,Absent
2024,Jul-Dec-2024,Asia,Bangladesh,"Influenza A viruses of high pathogenicity (Inf. with) (non-poultry including wild birds) (2017-)",Wild,Disease never reported,Absent
2024,Jan-Jun-2024,Asia,Bangladesh,"High pathogenicity avian influenza viruses (Inf. with) (poultry)",Domestic,Disease absent,Absent
2024,Jan-Jun-2024,Asia,Bangladesh,"Influenza A viruses of high pathogenicity (Inf. with) (non-poultry including wild birds) (2017-)",Domestic,No information,No information
2024,Jan-Jun-2024,Asia,Bangladesh,"Influenza A viruses of high pathogenicity (Inf. with) (non-poultry including wild birds) (2017-)",Wild,Disease absent,Absent
2023,Jul-Dec-2023,Asia,Bangladesh,"High pathogenicity avian influenza viruses (Inf. with) (poultry)",Domestic,Disease absent,Absent
2023,Jul-Dec-2023,Asia,Bangladesh,"Influenza A viruses of high pathogenicity (Inf. with) (non-poultry including wild birds) (2017-)",Domestic,No information,No information
2023,Jul-Dec-2023,Asia,Bangladesh,"Influenza A viruses of high pathogenicity (Inf. with) (non-poultry including wild birds) (2017-)",Wild,Disease absent,Absent
2023,Jan-Jun-2023,Asia,Bangladesh,"High pathogenicity avian influenza viruses (Inf. with) (poultry)",Domestic,Disease absent,Absent
2023,Jan-Jun-2023,Asia,Bangladesh,"Influenza A viruses of high pathogenicity (Inf. with) (non-poultry including wild birds) (2017-)",Domestic,No information,No information
2023,Jan-Jun-2023,Asia,Bangladesh,"Influenza A viruses of high pathogenicity (Inf. with) (non-poultry including wild birds) (2017-)",Wild,Disease absent,Absent
2020,Jul-Dec-2020,Asia,Bangladesh,"High pathogenicity avian influenza viruses (Inf. with) (poultry)",Domestic,Disease absent,Absent
2020,Jul-Dec-2020,Asia,Bangladesh,"Influenza A viruses of high pathogenicity (Inf. with) (non-poultry including wild birds) (2017-)",Domestic,No information,No information
2020,Jul-Dec-2020,Asia,Bangladesh,"Influenza A viruses of high pathogenicity (Inf. with) (non-poultry including wild birds) (2017-)",Wild,Disease absent,Absent
2020,Jan-Jun-2020,Asia,Bangladesh,"High pathogenicity avian influenza viruses (Inf. with) (poultry)",Domestic,Disease absent,Absent
2020,Jan-Jun-2020,Asia,Bangladesh,"Influenza A viruses of high pathogenicity (Inf. with) (non-poultry including wild birds) (2017-)",Domestic,No information,No information
2020,Jan-Jun-2020,Asia,Bangladesh,"Influenza A viruses of high pathogenicity (Inf. with) (non-poultry including wild birds) (2017-)",Wild,Disease absent,Absent
2019,Jul-Dec-2019,Asia,Bangladesh,"High pathogenicity avian influenza viruses (Inf. with) (poultry)",Domestic,Disease absent,Absent
2019,Jul-Dec-2019,Asia,Bangladesh,"Influenza A viruses of high pathogenicity (Inf. with) (non-poultry including wild birds) (2017-)",Domestic,No information,No information
2019,Jul-Dec-2019,Asia,Bangladesh,"Influenza A viruses of high pathogenicity (Inf. with) (non-poultry including wild birds) (2017-)",Wild,Disease absent,Absent
2019,Jan-Jun-2019,Asia,Bangladesh,"High pathogenicity avian influenza viruses (Inf. with) (poultry)",Domestic,Disease absent,Absent
2019,Jan-Jun-2019,Asia,Bangladesh,"Influenza A viruses of high pathogenicity (Inf. with) (non-poultry including wild birds) (2017-)",Domestic,No information,No information
2019,Jan-Jun-2019,Asia,Bangladesh,"Influenza A viruses of high pathogenicity (Inf. with) (non-poultry including wild birds) (2017-)",Wild,Disease present,Present
2018,Jul-Dec-2018,Asia,Bangladesh,"High pathogenicity avian influenza viruses (Inf. with) (poultry)",Domestic,Disease absent,Absent
2018,Jul-Dec-2018,Asia,Bangladesh,"Influenza A viruses of high pathogenicity (Inf. with) (non-poultry including wild birds) (2017-)",Domestic,No information,No information
2018,Jul-Dec-2018,Asia,Bangladesh,"Influenza A viruses of high pathogenicity (Inf. with) (non-poultry including wild birds) (2017-)",Wild,Disease absent,Absent
2018,Jan-Jun-2018,Asia,Bangladesh,"High pathogenicity avian influenza viruses (Inf. with) (poultry)",Domestic,Disease limited to one or more zones,Present
2018,Jan-Jun-2018,Asia,Bangladesh,"Influenza A viruses of high pathogenicity (Inf. with) (non-poultry including wild birds) (2017-)",Domestic,No information,No information
2018,Jan-Jun-2018,Asia,Bangladesh,"Influenza A viruses of high pathogenicity (Inf. with) (non-poultry including wild birds) (2017-)",Wild,Disease limited to one or more zones,Present
2017,Jul-Dec-2017,Asia,Bangladesh,"High pathogenicity avian influenza viruses (Inf. with) (poultry)",Domestic,Disease limited to one or more zones,Present
2017,Jul-Dec-2017,Asia,Bangladesh,"High pathogenicity avian influenza viruses (Inf. with) (poultry)",Wild,No information,No information
2017,Jul-Dec-2017,Asia,Bangladesh,"Influenza A viruses of high pathogenicity (Inf. with) (non-poultry including wild birds) (2017-)",Domestic,No information,No information
2017,Jul-Dec-2017,Asia,Bangladesh,"Influenza A viruses of high pathogenicity (Inf. with) (non-poultry including wild birds) (2017-)",Wild,Disease limited to one or more zones,Present
2017,Jan-Jun-2017,Asia,Bangladesh,"High pathogenicity avian influenza viruses (Inf. with) (poultry)",Domestic,Disease limited to one or more zones,Present
2017,Jan-Jun-2017,Asia,Bangladesh,"High pathogenicity avian influenza viruses (Inf. with) (poultry)",Wild,No information,No information
2017,Jan-Jun-2017,Asia,Bangladesh,"Influenza A viruses of high pathogenicity (Inf. with) (non-poultry including wild birds) (2017-)",Domestic,No information,No information
2017,Jan-Jun-2017,Asia,Bangladesh,"Influenza A viruses of high pathogenicity (Inf. with) (non-poultry including wild birds) (2017-)",Wild,Disease limited to one or more zones,Present
2016,Jul-Dec-2016,Asia,Bangladesh,"High pathogenicity avian influenza viruses (Inf. with) (poultry)",Domestic,Disease absent,Absent
2016,Jul-Dec-2016,Asia,Bangladesh,"High pathogenicity avian influenza viruses (Inf. with) (poultry)",Wild,Disease absent,Absent
2016,Jan-Jun-2016,Asia,Bangladesh,"High pathogenicity avian influenza viruses (Inf. with) (poultry)",Domestic,Disease absent,Absent
2016,Jan-Jun-2016,Asia,Bangladesh,"High pathogenicity avian influenza viruses (Inf. with) (poultry)",Wild,Disease limited to one or more zones,Present
2015,Jul-Dec-2015,Asia,Bangladesh,"High pathogenicity avian influenza viruses (Inf. with) (poultry)",Domestic,Disease absent,Absent
2015,Jul-Dec-2015,Asia,Bangladesh,"High pathogenicity avian influenza viruses (Inf. with) (poultry)",Wild,Disease absent,Absent
2015,Jan-Jun-2015,Asia,Bangladesh,"High pathogenicity avian influenza viruses (Inf. with) (poultry)",Domestic,Disease absent,Absent
2015,Jan-Jun-2015,Asia,Bangladesh,"High pathogenicity avian influenza viruses (Inf. with) (poultry)",Wild,Disease absent,Absent
2014,Jul-Dec-2014,Asia,Bangladesh,"High pathogenicity avian influenza viruses (Inf. with) (poultry)",Domestic,Disease absent,Absent
2014,Jul-Dec-2014,Asia,Bangladesh,"High pathogenicity avian influenza viruses (Inf. with) (poultry)",Wild,Disease absent,Absent
2014,Jan-Jun-2014,Asia,Bangladesh,"High pathogenicity avian influenza viruses (Inf. with) (poultry)",Domestic,Disease limited to one or more zones,Present
2014,Jan-Jun-2014,Asia,Bangladesh,"High pathogenicity avian influenza viruses (Inf. with) (poultry)",Wild,Disease absent,Absent
2013,Jul-Dec-2013,Asia,Bangladesh,"High pathogenicity avian influenza viruses (Inf. with) (poultry)",Domestic,Disease present,Present
2013,Jul-Dec-2013,Asia,Bangladesh,"High pathogenicity avian influenza viruses (Inf. with) (poultry)",Wild,Disease absent,Absent
2013,Jan-Jun-2013,Asia,Bangladesh,"High pathogenicity avian influenza viruses (Inf. with) (poultry)",Domestic,Disease present,Present
2013,Jan-Jun-2013,Asia,Bangladesh,"High pathogenicity avian influenza viruses (Inf. with) (poultry)",Wild,Disease absent,Absent
2012,Jul-Dec-2012,Asia,Bangladesh,"High pathogenicity avian influenza viruses (Inf. with) (poultry)",Domestic,Disease present,Present
2012,Jul-Dec-2012,Asia,Bangladesh,"High pathogenicity avian influenza viruses (Inf. with) (poultry)",Wild,Disease absent,Absent
2012,Jan-Jun-2012,Asia,Bangladesh,"High pathogenicity avian influenza viruses (Inf. with) (poultry)",Domestic,Disease present,Present
2012,Jan-Jun-2012,Asia,Bangladesh,"High pathogenicity avian influenza viruses (Inf. with) (poultry)",Wild,Disease present,Present
2011,Jul-Dec-2011,Asia,Bangladesh,"High pathogenicity avian influenza viruses (Inf. with) (poultry)",Domestic,Disease present,Present
2011,Jul-Dec-2011,Asia,Bangladesh,"High pathogenicity avian influenza viruses (Inf. with) (poultry)",Wild,Disease present,Present
2011,Jan-Jun-2011,Asia,Bangladesh,"High pathogenicity avian influenza viruses (Inf. with) (poultry)",Domestic,Disease present,Present
2011,Jan-Jun-2011,Asia,Bangladesh,"High pathogenicity avian influenza viruses (Inf. with) (poultry)",Wild,Disease present,Present
2010,Jul-Dec-2010,Asia,Bangladesh,"High pathogenicity avian influenza viruses (Inf. with) (poultry)",Domestic,Disease present,Present
2010,Jul-Dec-2010,Asia,Bangladesh,"High pathogenicity avian influenza viruses (Inf. with) (poultry)",Wild,Disease present,Present
2010,Jan-Jun-2010,Asia,Bangladesh,"High pathogenicity avian influenza viruses (Inf. with) (poultry)",Domestic,Disease present,Present
2010,Jan-Jun-2010,Asia,Bangladesh,"High pathogenicity avian influenza viruses (Inf. with) (poultry)",Wild,Disease present,Present
2009,Jul-Dec-2009,Asia,Bangladesh,"High pathogenicity avian influenza viruses (Inf. with) (poultry)",Domestic,Disease present,Present
2009,Jul-Dec-2009,Asia,Bangladesh,"High pathogenicity avian influenza viruses (Inf. with) (poultry)",Wild,Disease present,Present
2009,Jan-Jun-2009,Asia,Bangladesh,"High pathogenicity avian influenza viruses (Inf. with) (poultry)",Domestic,Disease present,Present
2009,Jan-Jun-2009,Asia,Bangladesh,"High pathogenicity avian influenza viruses (Inf. with) (poultry)",Wild,Disease present,Present
2008,Jul-Dec-2008,Asia,Bangladesh,"High pathogenicity avian influenza viruses (Inf. with) (poultry)",Domestic,Disease present,Present
2008,Jul-Dec-2008,Asia,Bangladesh,"High pathogenicity avian influenza viruses (Inf. with) (poultry)",Wild,Disease absent,Absent
2008,Jan-Jun-2008,Asia,Bangladesh,"High pathogenicity avian influenza viruses (Inf. with) (poultry)",Domestic,Disease present,Present
2008,Jan-Jun-2008,Asia,Bangladesh,"High pathogenicity avian influenza viruses (Inf. with) (poultry)",Wild,Disease absent,Absent
2007,Jul-Dec-2007,Asia,Bangladesh,"High pathogenicity avian influenza viruses (Inf. with) (poultry)",Domestic,Disease present,Present
2007,Jul-Dec-2007,Asia,Bangladesh,"High pathogenicity avian influenza viruses (Inf. with) (poultry)",Wild,Disease absent,Absent
2007,Jan-Jun-2007,Asia,Bangladesh,"High pathogenicity avian influenza viruses (Inf. with) (poultry)",Domestic,Disease present,Present
2007,Jan-Jun-2007,Asia,Bangladesh,"High pathogenicity avian influenza viruses (Inf. with) (poultry)",Wild,Disease absent,Absent
