badge;countryTerritory;eventId;reportId;disease;subType;eventStartDate;reason;reportStatus;submissionDate;reportNumber
"";"Bangladesh";7532;183183;"Aphanomyces invadans (Inf. with) (Epizootic ulcerative syndrome)";"";"31/12/2025";"Recurrence";"Validated";"15/05/2026";"FUR_1"
"";"Bangladesh";7391;181877;"Anthrax ";"";"07/03/2026";"First occurrence in a zone or a compartment";"Validated";"25/03/2026";"IN"
"";"Bangladesh";6876;177066;"Contagious caprine pleuropneumonia ";"";"10/08/2025";"First occurrence in a zone or a compartment";"Validated";"10/10/2025";"IN"
"";"Bangladesh";6835;176873;"Anthrax ";"";"21/06/2025";"First occurrence in a zone or a compartment";"Validated";"07/10/2025";"IN"
"";"Bangladesh";6536;174630;"Anthrax ";"";"03/05/2025";"First occurrence in a zone or a compartment";"Validated";"06/06/2025";"IN"
"";"Bangladesh";6453;174033;"Influenza A viruses of high pathogenicity (Inf. with) (non-poultry including wild birds) (2017-)";"H5N1";"17/04/2025";"Unusual host species";"Validated";"30/04/2025";"IN"
"";"Bangladesh";6351;173117;"High pathogenicity avian influenza viruses (Inf. with) (poultry)";"H5 (N untyped)";"11/03/2025";"Recurrence of an eradicated strain";"Validated";"24/03/2025";"IN"
"";"Bangladesh";5376;165838;"African swine fever virus (Inf. with) ";"";"13/11/2023";"First occurrence in the country/territory";"Validated";"18/02/2024";"FUR_1"
"";"Bangladesh";3025;17227;"Lumpy skin disease virus (Inf. with) ";"";"14/07/2019";"First occurrence in the country/territory";"Validated";"22/03/2020";"FUR_3"
"";"Bangladesh";3026;15961;"Rabies virus (Inf. with) ";"Untyped or partially typed";"20/08/2019";"Recurrence of an eradicated disease";"Validated";"15/09/2019";"IN"
"";"Bangladesh";2872;15063;"Influenza A viruses of high pathogenicity (Inf. with) (non-poultry including wild birds) (2017-)";"H5 (N untyped)";"15/12/2018";"Recurrence of an eradicated disease";"Validated";"17/04/2019";"IN"
"";"Bangladesh";2162;14330;"High pathogenicity avian influenza viruses (Inf. with) (poultry)";"H5N1";"15/01/2017";"Recurrence of an eradicated disease";"Validated";"18/12/2018";"FUR_5"
"";"Bangladesh";2432;12830;"Influenza A viruses of high pathogenicity (Inf. with) (non-poultry including wild birds) (2017-)";"H5N1";"25/11/2017";"Recurrence of an eradicated disease";"Validated";"27/03/2018";"FUR_1"
"";"Bangladesh";2250;12364;"Influenza A viruses of high pathogenicity (Inf. with) (non-poultry including wild birds) (2017-)";"H5N1";"14/01/2017";"Recurrence of an eradicated disease";"Validated";"26/12/2017";"FUR_1"
"";"Bangladesh";2167;10883;"Influenza A viruses of high pathogenicity (Inf. with) (non-poultry including wild birds) (2017-)";"H5N1";"15/01/2017";"Recurrence of an eradicated disease";"Validated";"15/03/2017";"FUR_2"
"";"Bangladesh";1914;9270;"High pathogenicity avian influenza viruses (Inf. with) (poultry)";"H5N1";"01/02/2016";"Recurrence of an eradicated disease";"Validated";"20/05/2016";"FUR_1"
"";"Bangladesh";192;6400;"High pathogenicity avian influenza viruses (Inf. with) (poultry)";"H5N1";"05/02/2007";"First occurrence in a zone or a compartment";"Validated";"21/12/2013";"FUR_43"
