Year,Semester,World region,Country,Administrative Division,Disease,Serotype/Subtype/Genotype,Animal Category,Event_id,Species,Outbreak_id,New outbreaks,Susceptible,Measuring units,Cases,Killed and disposed of,Slaughtered,Deaths,Vaccinated
2007,Jan-Jun 2007,Asia,Bangladesh,"Chittagong","High pathogenicity avian influenza viruses (Inf. with) (poultry)","H5N1",Both animal categories,-,"",-,1,-,-,-,-,-,-,-
2007,Jan-Jun 2007,Asia,Bangladesh,"Chittagong","High pathogenicity avian influenza viruses (Inf. with) (poultry)","H5N1",Domestic,-,"Birds",-,-,1800,Animal,1000,800,0,1000,0
2007,Jan-Jun 2007,Asia,Bangladesh,"Chittagong","White spot syndrome virus (Inf. with)","",Domestic,-,"Farmed crustaceans (species unspecified)",-,-,-,Animal,-,-,-,-,-
2007,Jan-Jun 2007,Asia,Bangladesh,"Dhaka","Aphanomyces invadans (Inf. with) (Epizootic ulcerative syndrome)","",Domestic,-,"Farmed fish (species unspecified)",-,-,-,Animal,-,-,-,-,-
2007,Jan-Jun 2007,Asia,Bangladesh,"Dhaka","High pathogenicity avian influenza viruses (Inf. with) (poultry)","H5N1",Both animal categories,-,"",-,31,-,-,-,-,-,-,-
2007,Jan-Jun 2007,Asia,Bangladesh,"Dhaka","High pathogenicity avian influenza viruses (Inf. with) (poultry)","H5N1",Domestic,-,"Birds",-,-,197790,Animal,33004,164786,0,33004,0
2007,Jan-Jun 2007,Asia,Bangladesh,"Khulna","High pathogenicity avian influenza viruses (Inf. with) (poultry)","H5N1",Both animal categories,-,"",-,6,-,-,-,-,-,-,-
2007,Jan-Jun 2007,Asia,Bangladesh,"Khulna","High pathogenicity avian influenza viruses (Inf. with) (poultry)","H5N1",Domestic,-,"Birds",-,-,8453,Animal,1698,6755,0,1698,0
2007,Jan-Jun 2007,Asia,Bangladesh,"Khulna","White spot syndrome virus (Inf. with)","",Domestic,-,"Farmed crustaceans (species unspecified)",-,-,-,Animal,-,-,-,-,-
2007,Jan-Jun 2007,Asia,Bangladesh,"Rajshahi","High pathogenicity avian influenza viruses (Inf. with) (poultry)","H5N1",Both animal categories,-,"",-,14,-,-,-,-,-,-,-
2007,Jan-Jun 2007,Asia,Bangladesh,"Rajshahi","High pathogenicity avian influenza viruses (Inf. with) (poultry)","H5N1",Domestic,-,"Birds",-,-,26428,Animal,1441,24987,0,1441,0
2007,Jul-Dec 2007,Asia,Bangladesh,"Chittagong","High pathogenicity avian influenza viruses (Inf. with) (poultry)","H5N1",Both animal categories,-,"",-,1,-,-,-,-,-,-,-
2007,Jul-Dec 2007,Asia,Bangladesh,"Chittagong","High pathogenicity avian influenza viruses (Inf. with) (poultry)","H5N1",Domestic,-,"Birds",-,-,333,Animal,5,328,0,5,0
2007,Jul-Dec 2007,Asia,Bangladesh,"Chittagong","White spot syndrome virus (Inf. with)","",Domestic,-,"Farmed crustaceans (species unspecified)",-,-,-,Animal,-,-,-,-,-
2007,Jul-Dec 2007,Asia,Bangladesh,"Dhaka","Aphanomyces invadans (Inf. with) (Epizootic ulcerative syndrome)","",Domestic,-,"Farmed fish (species unspecified)",-,-,-,Animal,-,-,-,-,-
2007,Jul-Dec 2007,Asia,Bangladesh,"Dhaka","High pathogenicity avian influenza viruses (Inf. with) (poultry)","H5N1",Both animal categories,-,"",-,2,-,-,-,-,-,-,-
2007,Jul-Dec 2007,Asia,Bangladesh,"Dhaka","High pathogenicity avian influenza viruses (Inf. with) (poultry)","H5N1",Domestic,-,"Birds",-,-,26833,Animal,54,26779,0,54,0
